co2;temp;hum;label
25439.41;30.45;69.13;1
26556.35;30.53;66.6;1
25047.01;30.52;69.49;1
26018.53;30.61;66.07;1
27599.53;30.68;70.1;1
27679.81;30.63;67.51;1
28815.67;30.75;70.35;1
27490.52;30.77;73.05;1
29226.9;30.82;71.06;1
28917.26;30.76;69.9;1
25921.34;30.88;72.56;1
28397.39;30.92;69.16;1
29444.51;30.93;73.27;1
27936.27;31.0;73.6;1
23785.86;30.97;73.03;1
26722.13;31.0;70.65;1
25319.71;30.99;73.53;1
25972.16;31.1;75.47;1
28939.08;31.13;75.93;1
24918.48;31.1;77.35;1
29233.85;31.19;75.74;1
28667.11;31.17;74.33;1
28330.77;31.21;75.96;1
30733.95;31.24;74.37;1
30061.3;31.27;75.26;1
31261.23;31.24;73.18;1
30944.37;31.31;74.85;1
27981.3;31.28;70.3;1
26188.93;31.23;67.24;1
27457.1;31.3;70.43;1
27568.63;31.3;74.29;1
28640.84;31.37;75.11;1
28712.3;31.39;77.04;1
28531.58;31.43;77.26;1
28203.3;31.43;76.62;1
26325.69;31.49;76.38;1
29033.18;31.51;76.7;1
32286.64;31.51;76.27;1
28403.86;31.54;77.99;1
32687.97;31.58;76.82;1
33045.4;31.55;77.01;1
29436.43;31.49;72.83;1
16846.27;31.54;69.51;1
23671.71;31.37;66.27;1
25365.87;31.41;66.94;1
25546.26;31.44;71.28;1
25161.64;31.49;72.0;1
24330.02;31.47;71.53;1
25688.99;31.47;71.62;1
25324.03;31.53;71.43;1
25321.12;31.51;71.07;1
25420.21;31.55;71.92;1
24886.0;31.57;72.51;1
26080.97;31.55;70.42;1
29197.34;31.64;74.94;1
30481.76;31.64;72.67;1
32362.04;31.7;74.85;1
31406.05;31.68;74.35;1
32693.95;31.75;74.45;1
29272.34;31.71;74.11;1
31854.93;31.75;71.85;1
33311.7;31.75;74.61;1
33435.22;31.81;74.62;1
29090.78;31.82;72.92;1
26787.7;31.81;70.73;1
29935.33;31.85;73.63;1
27766.33;31.84;74.2;1
30739.45;31.9;75.54;1
31492.8;31.84;77.29;1
30559.42;31.9;75.96;1
32659.91;31.91;76.31;1
29618.95;31.85;76.52;1
27999.36;31.72;74.41;1
29534.46;31.82;72.05;1
29999.59;31.72;75.42;1
33156.83;31.8;75.93;1
31246.3;31.74;74.9;1
32853.92;31.8;76.02;1
17351.09;31.75;76.95;1
21645.64;31.31;63.04;1
33815.78;31.54;61.83;1
30259.55;31.61;71.85;1
32231.46;31.65;72.63;1
27427.8;31.62;76.97;1
31637.46;31.7;77.68;1
30258.92;31.62;74.34;1
32311.72;31.7;76.22;1
34394.92;31.74;77.82;1
35182.4;31.75;77.82;1
33015.92;31.77;77.72;1
31138.84;31.81;77.26;1
40000.0;31.7;71.97;1
30537.77;31.8;76.05;1
